mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic
0.93097256620725,0.7134187469879786,0.8323394556840261,0,0,Ecoli_asb,0,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,1,Ecoli_asb,1,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,2,Ecoli_asb,2,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,3,Ecoli_asb,4,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,4,Ecoli_asb,8,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,5,Ecoli_asb,16,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,6,Ecoli_asb,32,Ampicillin
0.93097256620725,0.7134187469879786,0.8323394556840261,0,7,Ecoli_asb,64,Ampicillin
0.920841912428538,0.7535280833641688,0.8359476576248804,0,0,Ecoli_asb,0,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,1,Ecoli_asb,1,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,2,Ecoli_asb,2,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,3,Ecoli_asb,4,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,4,Ecoli_asb,8,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,5,Ecoli_asb,16,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,6,Ecoli_asb,32,Chloramphenicol
0.920841912428538,0.7535280833641688,0.8359476576248804,0,7,Ecoli_asb,64,Chloramphenicol
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,0,Ecoli_asb,0,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,1,Ecoli_asb,1,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,2,Ecoli_asb,2,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,3,Ecoli_asb,4,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,4,Ecoli_asb,8,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,5,Ecoli_asb,16,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,6,Ecoli_asb,32,Kanamycin
0.8534016013145447,0.7486394643783569,0.8240762203931808,0,7,Ecoli_asb,64,Kanamycin
0.7381420433521271,0.687201534708341,0.7775177210569382,1,0,Ecoli_asb,0,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,1,Ecoli_asb,1,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,2,Ecoli_asb,2,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,3,Ecoli_asb,4,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,4,Ecoli_asb,8,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,5,Ecoli_asb,16,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,6,Ecoli_asb,32,Tetracycline
0.7381420433521271,0.687201534708341,0.7775177210569382,1,7,Ecoli_asb,64,Tetracycline
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,0,Ecoli_ef,0,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,1,Ecoli_ef,1,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,2,Ecoli_ef,2,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,3,Ecoli_ef,4,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,4,Ecoli_ef,8,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,5,Ecoli_ef,16,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,6,Ecoli_ef,32,Ampicillin
0.9192678381999334,0.7721488128105799,0.8297785570224127,0,7,Ecoli_ef,64,Ampicillin
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,0,Ecoli_ef,0,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,1,Ecoli_ef,1,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,2,Ecoli_ef,2,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,3,Ecoli_ef,4,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,4,Ecoli_ef,8,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,5,Ecoli_ef,16,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,6,Ecoli_ef,32,Chloramphenicol
0.9387291123469672,0.7767240802447001,0.8295917014280955,1,7,Ecoli_ef,64,Chloramphenicol
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,0,Ecoli_ef,0,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,1,Ecoli_ef,1,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,2,Ecoli_ef,2,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,3,Ecoli_ef,4,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,4,Ecoli_ef,8,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,5,Ecoli_ef,16,Kanamycin
