mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic,category
0.919267838,0.772148813,0.829778557,0,4,Ecoli_ef,8,Ampicillin,S
0.919267838,0.772148813,0.829778557,0,5,Ecoli_ef,16,Ampicillin,S
0.919267838,0.772148813,0.829778557,0,6,Ecoli_ef,32,Ampicillin,S
0.919267838,0.772148813,0.829778557,0,7,Ecoli_ef,64,Ampicillin,S
0.938729112,0.77672408,0.829591701,1,0,Ecoli_ef,0,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,1,Ecoli_ef,1,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,2,Ecoli_ef,2,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,3,Ecoli_ef,4,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,4,Ecoli_ef,8,Chloramphenicol,S
0.938729112,0.77672408,0.829591701,1,5,Ecoli_ef,16,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,6,Ecoli_ef,32,Chloramphenicol,R
0.938729112,0.77672408,0.829591701,1,7,Ecoli_ef,64,Chloramphenicol,R
0.960004181,0.768634126,0.847485642,2,0,Ecoli_ef,0,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,1,Ecoli_ef,1,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,2,Ecoli_ef,2,Kanamycin,S
0.960004181,0.768634126,0.847485642,2,3,Ecoli_ef,4,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,4,Ecoli_ef,8,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,5,Ecoli_ef,16,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,6,Ecoli_ef,32,Kanamycin,R
0.960004181,0.768634126,0.847485642,2,7,Ecoli_ef,64,Kanamycin,R
0.912211736,0.721388703,0.807316234,3,0,Ecoli_ef,0,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,1,Ecoli_ef,1,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,2,Ecoli_ef,2,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,3,Ecoli_ef,4,Tetracycline,S
